iter	Passed	Remaining
0	153	15183
1	159	7804
2	165	5342
3	171	4107
4	177	3368
5	182	2855
6	187	2489
7	192	2218
8	197	1995
9	202	1822
10	207	1676
11	212	1557
12	217	1453
13	222	1363
14	227	1289
15	232	1219
16	237	1157
17	242	1103
18	246	1052
19	252	1008
20	256	965
21	261	926
22	266	892
23	271	859
24	276	830
25	281	800
26	286	774
27	291	750
28	296	726
29	301	703
30	306	682
31	311	662
32	316	643
33	321	625
34	327	607
35	331	589
36	336	573
37	342	558
38	347	543
39	352	528
40	358	515
41	362	501
42	368	488
43	373	475
44	379	463
45	384	451
46	390	440
47	395	428
48	400	417
49	406	406
50	412	396
51	418	386
52	423	375
53	428	365
54	433	354
55	439	345
56	444	335
57	449	325
58	456	316
59	461	307
60	466	298
61	472	289
62	477	280
63	483	271
64	488	262
65	493	254
66	498	245
67	503	236
68	508	228
69	513	219
70	518	211
71	523	203
72	527	195
73	532	187
74	538	179
75	543	171
76	547	163
77	553	155
78	557	148
79	562	140
80	567	133
81	572	125
82	577	118
83	582	110
84	587	103
85	592	96
86	597	89
87	603	82
88	608	75
89	613	68
90	618	61
91	622	54
92	628	47
93	633	40
94	639	33
95	644	26
96	650	20
97	655	13
98	660	6
99	665	0
