Trial,Score,Num_Rules,Avg_Fraud_Rate,Fraud_Detection_Rate,max_rules_per_run,min_subset_size_absolute,min_subset_size_percent,max_iterations,num_runs,ga_num_generations,ga_population_size,ga_num_parents,ga_mutation_percent,max_features_per_rule,feature_reuse_penalty,min_threshold_value
8,1.0812651199682728,2,0.039807233938675815,0.8373983739837398,5,106,0.008578911784893237,11,1,137,120,21,18,9,0.3764653116143729,0.0006049683800230797
27,1.0812651199682728,2,0.10385022833664982,0.8373983739837398,12,188,0.00666384470947703,18,1,125,164,27,30,5,0.3292215717731373,0.008567847044590588
15,1.0562641284949434,2,0.089698921780838,0.8211382113821138,8,199,0.007650816532970692,13,1,52,105,17,38,6,0.2070979852619436,0.009951132777201811
28,1.0469296549672815,2,0.10766484846752405,0.8150406504065041,8,183,0.006534317206137019,18,1,115,140,15,30,5,0.32224677219082315,0.007880211140798128
3,1.0128941106484237,2,0.042555059097406436,0.7926829268292683,15,195,0.012268967890536626,15,1,53,154,38,30,7,0.3046611110064116,0.00937610927569748
16,0.9944556811421773,2,0.06738510204917465,0.7804878048780488,7,163,0.008232771838640015,14,2,151,108,39,17,6,0.2321944779764043,0.009950210273166754
11,0.9913912849494347,2,0.11396005105365481,0.7784552845528455,9,156,0.005441401108430493,15,2,56,54,12,27,4,0.11106043266695098,0.004361811836352825
25,0.8292682926829268,1,0.13675213675213677,0.8130081300813008,11,180,0.010193207641304852,11,1,73,157,27,35,7,0.29174875559519015,0.009875721695103363
4,0.8189024390243903,1,0.11911942098914355,0.8028455284552846,14,32,0.011622817557802458,16,2,242,134,34,22,3,0.749729122905064,0.00906962774904287
10,0.8189024390243903,1,0.2915129151291513,0.8028455284552846,3,47,0.0047552649585258025,13,2,217,188,37,12,14,0.6200396760686894,0.006720492675506627
7,0.8168292682926829,1,0.08265156282777428,0.8008130081300813,12,139,0.01659175869750228,10,2,122,132,29,23,3,0.29418899211214533,0.00841275204834471
30,0.8126829268292683,1,0.211548839719374,0.7967479674796748,8,114,0.006504288238367235,15,1,115,199,21,30,8,0.17808819688137223,0.007994505502021434
2,0.8064634146341464,1,0.10442953020134228,0.790650406504065,10,168,0.01296131152489952,7,3,197,81,31,28,6,0.35293523005788685,0.0034094887051113252
9,0.8002439024390244,1,0.2942073170731707,0.7845528455284553,10,38,0.0045353962759686235,19,1,51,169,10,32,4,0.30174369710162185,0.005238445987787093
14,0.7732926829268293,1,0.16993166287015946,0.758130081300813,7,198,0.007468259894364957,12,1,50,188,18,40,6,0.14202504116177472,0.001183532820365075
20,0.7629268292682927,1,0.5411764705882353,0.7479674796747967,3,86,0.002373738130535071,13,2,216,115,16,40,13,0.2622283190023802,0.006825567467882435
29,0.7629268292682927,1,0.18299353555445053,0.7479674796747967,8,105,0.006599502989242605,18,1,112,133,21,29,5,0.4788294107462852,0.008178333717970679
31,0.7567073170731707,1,0.1970842332613391,0.741869918699187,8,150,0.006499334378823959,14,1,130,199,27,21,8,0.18856027158058003,0.007677283985626792
26,0.7235365853658536,1,0.11061806656101426,0.709349593495935,11,182,0.011075921338929137,11,1,72,146,15,35,7,0.30988213752631466,0.009398052745474087
1,0.6717073170731708,1,0.09750225699668974,0.6585365853658537,4,43,0.011544701002650527,18,1,290,88,23,32,8,0.5899043297422525,0.008074944891723588
17,0.6696341463414635,1,0.1327579120427456,0.6565040650406504,7,93,0.008509299459430632,9,1,157,103,39,18,7,0.4924977502337967,0.006795781337173328
12,0.18865853658536585,1,0.05955497382198953,0.18495934959349594,15,129,0.004925435874833265,6,3,85,50,26,33,11,0.10015839079188177,0.003018763544737883
0,0.0,0,0,0.0,13,120,0.013541653161717765,16,2,188,156,32,14,11,0.6617778640289125,0.006343490946748589
5,0.0,0,0,0.0,4,113,0.01273430850498265,16,3,114,65,13,26,12,0.3916046899201767,0.005490390652703531
6,0.0,0,0,0.0,9,64,0.01787550457566894,16,3,143,145,19,24,9,0.6177357460318997,0.0037886054759066028
13,0.0,0,0,0.0,15,199,0.001574083767614443,11,1,90,179,40,5,15,0.1514382255844309,0.00013486018750314462
18,0.0,0,0,0.0,6,95,0.008691078629652056,9,1,159,107,19,16,10,0.48761622127177695,0.0019564228183465413
19,0.0,0,0,0.0,6,88,0.009080558251273801,13,2,223,112,18,12,10,0.22213783864764503,0.002166656379740604
21,0.0,0,0,0.0,5,78,0.0012553348786091788,13,1,219,122,23,40,13,0.23678860830981052,0.006828965318081116
22,0.0,0,0,0.0,5,78,0.01481871235788364,8,1,92,123,16,39,9,0.2293014243614139,0.0018612136950138976
23,0.0,0,0,0.0,5,143,0.01521086161137395,5,1,90,88,22,39,13,0.4099408221739619,0.0002137863780414491
24,0.0,0,0,0.0,11,178,0.010174813438311203,11,1,75,152,23,36,8,0.4202711107054671,0.009940681397638968
