Ensemble_Rule_Number,Component_Rules,Component_Details,Subset_Size,Fraud_Rate,Fraud_Count
1,Rule #1 OR Rule #2,Rule 1: V4 > 0.3328; V11 > 0.4463; V15 < 1.0000; V19 > 0.3890; V20 > 0.5296 | Rule 2: V2 > 0.8658; V11 > 0.5687; V13 > 0.2304; V14 > 0.2844; V23 > 0.5948,1671,0.21723518850987433,363
2,Rule #1 OR Rule #2,Rule 1: V1 < 0.9795; V2 > 0.7114; V3 > 0.2969; V4 > 0.3333; V11 > 0.4463 | Rule 2: V4 > 0.3235; V8 < 0.8998; V11 > 0.5676; V20 > 0.5604; V27 > 0.3802,1005,0.35522388059701493,357
3,Rule #1 OR Rule #3,Rule 1: V1 < 1.0000; V2 > 0.7123; V4 > 0.3349; V11 > 0.4462; V24 > 0.0864 | Rule 3: V4 > 0.3253; V11 > 0.5641; V20 > 0.5587; V28 > 0.2866; Amount < 0.0402,913,0.380065717415115,347
4,Rule #1 OR Rule #2,Rule 1: V1 < 1.0000; V2 > 0.7123; V4 > 0.3349; V11 > 0.4462; V24 > 0.0864 | Rule 2: V8 < 0.8565; V17 > 0.7127; V21 > 0.5820,685,0.46715328467153283,320
5,Rule #1 OR Rule #4,Rule 1: V1 < 1.0000; V2 > 0.7123; V4 > 0.3349; V11 > 0.4462; V24 > 0.0864 | Rule 4: V5 > 0.6287; V11 > 0.6269; V15 < 0.4779; V19 > 0.5565,684,0.4649122807017544,318
6,Rule #1 OR Rule #4,Rule 1: V1 < 0.9795; V2 > 0.7114; V3 > 0.2969; V4 > 0.3333; V11 > 0.4463 | Rule 4: V11 > 0.6554; V13 > 0.3262; V15 < 0.4512; V24 > 0.3173,670,0.4716417910447761,316
7,Rule #1 OR Rule #4,Rule 1: V4 > 0.3328; V11 > 0.4463; V15 < 1.0000; V19 > 0.3890; V20 > 0.5296 | Rule 4: V6 > 0.1966; V11 > 0.5756; V19 > 0.5733; V25 > 0.5525; V26 > 0.4395,735,0.42448979591836733,312
8,Rule #1 OR Rule #3,Rule 1: V1 < 0.9795; V2 > 0.7114; V3 > 0.2969; V4 > 0.3333; V11 > 0.4463 | Rule 3: V4 > 0.4774; V5 > 0.6690; V19 > 0.4435; V21 > 0.5570,670,0.46417910447761196,311
9,Rule #1 OR Rule #3,Rule 1: V4 > 0.3328; V11 > 0.4463; V15 < 1.0000; V19 > 0.3890; V20 > 0.5296 | Rule 3: V3 > 0.7615; V12 > 0.3299; V17 > 0.6796; V18 > 0.4695; V27 > 0.4037,670,0.4626865671641791,310
10,Rule #1 OR Rule #5,Rule 1: V4 > 0.3328; V11 > 0.4463; V15 < 1.0000; V19 > 0.3890; V20 > 0.5296 | Rule 5: V4 > 0.4744; V7 > 0.3112; V8 < 1.0000; V24 > 0.2603; Amount < 0.0522,670,0.4597014925373134,308
11,Rule #2 OR Rule #4,Rule 2: V2 > 0.8658; V11 > 0.5687; V13 > 0.2304; V14 > 0.2844; V23 > 0.5948 | Rule 4: V6 > 0.1966; V11 > 0.5756; V19 > 0.5733; V25 > 0.5525; V26 > 0.4395,1640,0.04573170731707317,75
12,Rule #2 OR Rule #3,Rule 2: V2 > 0.8658; V11 > 0.5687; V13 > 0.2304; V14 > 0.2844; V23 > 0.5948 | Rule 3: V3 > 0.7615; V12 > 0.3299; V17 > 0.6796; V18 > 0.4695; V27 > 0.4037,1575,0.04634920634920635,73
13,Rule #2 OR Rule #5,Rule 2: V2 > 0.8658; V11 > 0.5687; V13 > 0.2304; V14 > 0.2844; V23 > 0.5948 | Rule 5: V4 > 0.4744; V7 > 0.3112; V8 < 1.0000; V24 > 0.2603; Amount < 0.0522,1575,0.04507936507936508,71
14,Rule #2 OR Rule #4,Rule 2: V4 > 0.3235; V8 < 0.8998; V11 > 0.5676; V20 > 0.5604; V27 > 0.3802 | Rule 4: V11 > 0.6554; V13 > 0.3262; V15 < 0.4512; V24 > 0.3173,911,0.07574094401756312,69
15,Rule #2 OR Rule #3,Rule 2: V8 < 0.8565; V17 > 0.7127; V21 > 0.5820 | Rule 3: V4 > 0.3253; V11 > 0.5641; V20 > 0.5587; V28 > 0.2866; Amount < 0.0402,806,0.08064516129032258,65
16,Rule #2 OR Rule #3,Rule 2: V4 > 0.3235; V8 < 0.8998; V11 > 0.5676; V20 > 0.5604; V27 > 0.3802 | Rule 3: V4 > 0.4774; V5 > 0.6690; V19 > 0.4435; V21 > 0.5570,911,0.07025246981339188,64
17,Rule #3 OR Rule #4,Rule 3: V4 > 0.3253; V11 > 0.5641; V20 > 0.5587; V28 > 0.2866; Amount < 0.0402 | Rule 4: V5 > 0.6287; V11 > 0.6269; V15 < 0.4779; V19 > 0.5565,805,0.0782608695652174,63
18,Rule #2 OR Rule #4,Rule 2: V8 < 0.8565; V17 > 0.7127; V21 > 0.5820 | Rule 4: V5 > 0.6287; V11 > 0.6269; V15 < 0.4779; V19 > 0.5565,577,0.06239168110918544,36
19,Rule #3 OR Rule #4,Rule 3: V4 > 0.4774; V5 > 0.6690; V19 > 0.4435; V21 > 0.5570 | Rule 4: V11 > 0.6554; V13 > 0.3262; V15 < 0.4512; V24 > 0.3173,576,0.03993055555555555,23
20,Rule #3 OR Rule #4,Rule 3: V3 > 0.7615; V12 > 0.3299; V17 > 0.6796; V18 > 0.4695; V27 > 0.4037 | Rule 4: V6 > 0.1966; V11 > 0.5756; V19 > 0.5733; V25 > 0.5525; V26 > 0.4395,639,0.03442879499217527,22
21,Rule #4 OR Rule #5,Rule 4: V6 > 0.1966; V11 > 0.5756; V19 > 0.5733; V25 > 0.5525; V26 > 0.4395 | Rule 5: V4 > 0.4744; V7 > 0.3112; V8 < 1.0000; V24 > 0.2603; Amount < 0.0522,639,0.03129890453834116,20
22,Rule #3 OR Rule #5,Rule 3: V3 > 0.7615; V12 > 0.3299; V17 > 0.6796; V18 > 0.4695; V27 > 0.4037 | Rule 5: V4 > 0.4744; V7 > 0.3112; V8 < 1.0000; V24 > 0.2603; Amount < 0.0522,574,0.0313588850174216,18
