Run,Iteration,Rule,Subset_Size,Fraud_Rate,Fraud_Count,Fitness_Score
2,1,V1 < 0.9795; V2 > 0.7114; V3 > 0.2969; V4 > 0.3333; V11 > 0.4463,382,0.7905759162303665,302,268.52130126953125
1,1,V1 < 1.0000; V2 > 0.7123; V4 > 0.3349; V11 > 0.4462; V24 > 0.0864,396,0.76010101010101,301,262.42315673828125
3,1,V4 > 0.3328; V11 > 0.4463; V15 < 1.0000; V19 > 0.3890; V20 > 0.5296,383,0.783289817232376,300,265.510986328125
3,2,V2 > 0.8658; V11 > 0.5687; V13 > 0.2304; V14 > 0.2844; V23 > 0.5948,1288,0.04891304347826087,63,12.942000389099121
2,2,V4 > 0.3235; V8 < 0.8998; V11 > 0.5676; V20 > 0.5604; V27 > 0.3802,623,0.08828250401284109,55,14.016571044921875
1,3,V4 > 0.3253; V11 > 0.5641; V20 > 0.5587; V28 > 0.2866; Amount < 0.0402,517,0.08897485493230174,46,11.768828392028809
1,2,V8 < 0.8565; V17 > 0.7127; V21 > 0.5820,289,0.0657439446366782,19,4.871710777282715
1,4,V5 > 0.6287; V11 > 0.6269; V15 < 0.4779; V19 > 0.5565,288,0.059027777777777776,17,3.8364155292510986
2,4,V11 > 0.6554; V13 > 0.3262; V15 < 0.4512; V24 > 0.3173,288,0.04861111111111111,14,2.867109775543213
3,4,V6 > 0.1966; V11 > 0.5756; V19 > 0.5733; V25 > 0.5525; V26 > 0.4395,352,0.03409090909090909,12,1.9003880023956299
3,3,V3 > 0.7615; V12 > 0.3299; V17 > 0.6796; V18 > 0.4695; V27 > 0.4037,287,0.03484320557491289,10,1.866633415222168
2,3,V4 > 0.4774; V5 > 0.6690; V19 > 0.4435; V21 > 0.5570,288,0.03125,9,1.4778012037277222
3,5,V4 > 0.4744; V7 > 0.3112; V8 < 1.0000; V24 > 0.2603; Amount < 0.0522,287,0.027874564459930314,8,1.240630865097046
