Run,Iteration,Rule,Subset_Size,Fraud_Rate,Fraud_Count,Fitness_Score
2,1,V10 < 0.4544328321736455; V11 > 0.39063196428462676; V20 > 0.5317218677565716,420,0.8261904761904761,347,315.4057312011719
4,1,V5 > 0.6163477707197244; V10 < 0.4573533511811556; V11 > 0.3969817111606553,410,0.8414634146341463,345,316.4730529785156
1,1,V3 > 0.29083436590380884; V10 < 0.4582155229678402; V11 > 0.39983288606016365,410,0.8390243902439024,344,315.0980529785156
3,1,V3 > 0.2922194816977369; V10 < 0.44914579006872024; V16 < 0.41782184137183376,422,0.7938388625592417,335,298.4770812988281
1,5,Default: Catch-all,283419,0.0003281360812083876,93,
3,5,Default: Catch-all,283488,0.00031041878315837005,88,
2,5,Default: Catch-all,283154,0.00030019000261341885,85,
4,5,Default: Catch-all,282791,0.0002793582539755508,79,
4,2,V10 < 0.3279646291918674; V21 > 0.5892275060943837; V26 > 0.32077192106190444,958,0.04592901878914405,44,7.579955577850342
2,2,V10 < 0.3270562304629002; V16 < 0.21400391477224812; V26 > 0.2521793760371991,291,0.10996563573883161,32,8.529996871948242
3,2,V2 > 0.6196727430949324; V11 > 0.6716853928839224,291,0.10996563573883161,32,10.611541748046875
1,3,V10 < 0.31313775356773577; V16 < 0.25757723251782594; V27 > 0.3881504529931028,293,0.08873720136518772,26,6.225820064544678
3,3,V17 > 0.7112956612050069; V19 < 0.5882904919687246; V22 < 0.5024642475987657,315,0.06031746031746032,19,4.666326522827148
1,2,V17 > 0.7163836198889093; V21 > 0.5808414054869431; V24 > 0.21891259949595487,394,0.04568527918781726,18,3.8473405838012695
3,4,V7 < 0.2113785130532433; V10 < 0.4515689545283865; V11 > 0.4375892875062808,291,0.061855670103092786,18,2.720440149307251
2,4,V13 < 0.5618255045495888; V17 > 0.7122406926808271,326,0.049079754601226995,16,2.8493220806121826
4,4,V1 < 0.9438246760058571; V11 > 0.5114149199359531; V16 < 0.17566675700265455,358,0.03910614525139665,14,2.225465774536133
2,3,V11 > 0.6482219104600944; V25 < 0.6521935237876597; V27 > 0.3428549746578029,616,0.01948051948051948,12,1.346331238746643
1,4,V1 < 1.0; V4 < 0.7255541165847217; V11 > 0.6497774532751482,291,0.037800687285223365,11,1.719146490097046
4,3,V2 > 0.8622052518889365; V13 < 0.44201169542638596; V17 > 0.6973821931672334,290,0.034482758620689655,10,1.8569533824920654
