Trial,Score,Num_Rules,Avg_Fraud_Rate,Fraud_Detection_Rate,max_rules_per_run,min_subset_size_absolute,min_subset_size_percent,max_iterations,num_runs,ga_num_generations,ga_population_size,ga_num_parents,ga_mutation_percent,max_features_per_rule,feature_reuse_penalty,min_threshold_value,LESS_LOOKUP_RULE_POSITION
31,1.1400000000000001,7,0.14981715810999047,1.0,15,117,0.001022767255782377,12,1,271,119,18,30,3,0.5884757650417167,0.009852523801070373,3
19,1.1,5,0.18385708031965692,1.0,15,113,0.0011607274094099704,10,1,292,114,11,40,3,0.40224442563270774,0.009778007168350053,3
20,1.1,5,0.19960665216285162,1.0,15,123,0.0010301755049598735,10,1,269,90,12,26,5,0.6288106244570777,0.009937265747128018,8
32,1.1,5,0.2051451430545897,1.0,13,107,0.001093290590674199,12,1,266,124,10,39,3,0.5762887730811236,0.009972479516243929,5
38,1.1,5,0.09612505092632063,1.0,13,103,0.002936545272854213,12,1,262,127,10,40,4,0.5364583580016443,0.009628666644362682,5
39,1.1,5,0.10041514213256589,1.0,13,98,0.0025305851491783478,12,1,163,136,20,22,4,0.7351255031084302,0.009823370325448234,5
33,1.08,4,0.08608799310011706,1.0,13,105,0.0036524397597307175,12,1,157,131,10,40,3,0.5642959351542511,0.008145240155288846,5
34,1.08,4,0.08731778351344922,1.0,13,103,0.003998041329346056,12,1,158,131,10,40,3,0.5490126310381949,0.008197454488143343,5
35,1.08,4,0.08265130723502115,1.0,13,65,0.003297808748698166,12,1,261,130,20,40,5,0.5463555088008425,0.00805937443309867,5
37,1.08,4,0.07946362257705575,1.0,13,67,0.0036649592343876965,12,1,260,130,10,39,4,0.537414790470516,0.007882470705283052,5
2,1.06,3,0.046236804328977504,1.0,15,37,0.009814566202836068,12,1,276,184,37,33,3,0.7347335865243221,0.004177077296471966,5
8,1.06,3,0.1937422913055984,1.0,15,120,0.0022484606717369333,10,1,158,76,19,23,7,0.7551615239994073,0.00806808640324711,4
21,1.06,3,0.3222967246634841,1.0,15,129,0.001036542046886333,10,1,298,111,16,26,5,0.6325025799342416,0.009256027732167299,8
22,1.06,3,0.3144158444139315,1.0,11,131,0.0010072576848819104,10,1,282,108,16,25,4,0.650789806366487,0.00014409857831917255,8
23,1.06,3,0.3025678364334125,1.0,11,134,0.0014305741264353106,10,1,279,108,12,25,6,0.7761596079696742,0.00010807784906571166,8
28,1.06,3,0.10400054962846163,1.0,12,116,0.004121943512172687,11,1,143,84,11,27,3,0.6981653242507795,0.009948788977499963,3
29,1.06,3,0.09058070232361969,1.0,15,122,0.004978546708194938,11,1,149,78,17,31,3,0.6535496994556996,0.00795983942778976,3
30,1.06,3,0.09990234333236991,1.0,15,124,0.004532051911830672,11,1,258,82,34,40,3,0.7052892632705795,0.0035128065136091416,3
3,1.04,2,0.03728155084034105,1.0,10,175,0.012003736356133492,10,1,235,84,33,27,9,0.6960687013809229,0.0010827800909854865,7
4,1.04,2,0.06612394074326423,1.0,15,88,0.00995823064001529,7,1,292,155,13,14,12,0.3295360159984986,0.0015670062557048088,4
6,1.04,2,0.03619034407909106,1.0,7,81,0.015796678098186214,14,1,247,93,14,16,12,0.17928658811809883,0.006534990230647002,4
11,1.04,2,0.17254940399584864,1.0,3,42,0.0034442579107345703,7,1,265,138,30,36,5,0.16000311544527018,0.008868294866978516,6
13,1.04,2,0.0813736023053158,1.0,13,154,0.007531298919457356,18,1,191,193,22,12,4,0.7991349404316402,0.004244879119389671,7
15,1.04,2,0.09503023839566213,1.0,12,114,0.006225022515768073,7,1,115,196,21,34,5,0.6473385141417131,0.0066199502911493124,7
16,1.04,2,0.04628302567918758,1.0,10,130,0.009095488194673498,5,1,232,104,15,21,6,0.11706512352895306,0.002153251974547768,7
17,1.04,2,0.04721980738328376,1.0,14,43,0.013594229800060285,15,1,208,66,36,11,9,0.1303015391012165,0.008822054998082127,9
24,1.04,2,0.050623752696374674,1.0,11,199,0.012573677983417854,10,1,288,98,13,26,7,0.3885478723385613,0.00044624372562456925,8
25,1.04,2,0.05010722193835901,1.0,15,133,0.012394305950241666,10,1,299,111,18,27,3,0.40562310826508785,0.0013605521053936562,3
26,1.04,2,0.04885519287852126,1.0,15,199,0.012921828665149218,10,1,286,108,18,27,7,0.4334588499586697,0.0016420157485064254,3
27,1.04,2,0.05177551128953396,1.0,10,200,0.012524229350826477,10,1,146,116,18,27,7,0.42396306978752135,0.007766102229656982,8
36,1.04,2,0.13028365184436463,1.0,13,65,0.0037527556960699274,12,1,262,67,10,40,6,0.5542659290468104,0.008278321209550604,5
0,1.02,1,0.001727485630620034,1.0,5,168,0.0014789565641362254,17,1,141,75,37,17,12,0.126097322129106,0.009158724345465127,5
1,1.02,1,0.001727485630620034,1.0,4,37,0.010017714535471886,15,1,53,158,33,17,15,0.18877351710042725,0.0028877499470636465,6
5,1.02,1,0.001727485630620034,1.0,7,182,0.017691815924626344,8,1,207,145,22,29,12,0.7982433136798024,0.006659771129673482,6
7,1.02,1,0.001727485630620034,1.0,5,150,0.019895888690096626,17,1,74,183,32,10,11,0.5830499872950208,0.005042360596626452,9
9,1.02,1,0.001727485630620034,1.0,14,50,0.016716864453261957,14,1,183,183,39,35,12,0.5109007165796564,0.007093760866344636,4
10,1.02,1,0.001727485630620034,1.0,11,86,0.016771763810494774,14,1,102,163,27,18,11,0.2997274696138421,0.0003927181284699233,4
12,1.02,1,0.001727485630620034,1.0,8,172,0.010570013794956049,6,1,185,54,25,13,8,0.25557063623257015,0.003178130292642825,4
14,1.02,1,0.001727485630620034,1.0,4,168,0.007671300897120678,18,1,95,200,26,5,15,0.19466484858002336,0.004805392653100651,6
18,1.02,1,0.001727485630620034,1.0,7,32,0.018574513961101984,5,1,178,49,39,16,9,0.7145241845125783,0.005969748691782611,6
